KEY VARIABLE,VARIABLE ID,Stock Preparation,Refining,Wet End,Press,Drying,Others,Quality,Cost,Production,ACCEPTABLE RANGE LOW END,ACCEPTABLE RANGE HIGH END,DEFINITION,Unit of Measure
Refiner No.1 kW/hr | JIC-2123-211,MM012,,Refining,,,,,,Cost,,614.00,"1,417.00","Tracks the electrical energy applied to Refiner #1, typically between 750-950 kWh. Higher power leads to finer fiber fibrillation but can reduce sheet strength if overused. Monitoring power consumption ensures optimal refining efficiency without excessive fiber cutting.",kW/hr
Refiner No.2 kW/hr | JIC-2123-221,MM013,,Refining,,,,,,Cost,,195.00,963.00,"Measures the power used by Refiner #2, maintained between 500-600 kWh. Functions similarly to Refiner #1, balancing energy input with fiber development. Excessive refining can degrade fiber strength, reducing overall paper quality.",kW/hr
Refiners #1 Outlet Flow Control PV | FFIC-2123-242,MM014,,Refining,,,,,Quality,,,"1,374.00","2,542.00","Controls the consistency of refined stock flowing to the blend chest. Ensures stable refining conditions to maintain sheet quality. Variations in flow can lead to uneven refining, impacting sheet strength and production stability.",GPM
Refiners #2 Outlet Flow Control PV | FFIC-2123-243,MM015,,Refining,,,,,Quality,,,"1,075.00","2,035.00","Similar to Refiner #1, this regulates the outflow from Refiner #2. Maintaining consistent flow is essential for even refining and avoiding variability in sheet formation. Sudden fluctuations can cause defects and operational inefficiencies.",GPM
QCS | RCT | Avg,MM016,,,,,,Others,Quality,,,24.40,31.10,"Ring Crush Test (RCT) measures the sheet’s strength in the cross-direction, determining box stacking ability. Influenced by basis weight, rush drag, and refining parameters. Maintaining optimal RCT ensures structural integrity of the final product.",lbs
QCS | Bone Dry Last Scan | Avg (lbs/msf),MM017,,,,,,Others,Quality,,,19.90,21.50,"Represents the dry weight of the paper excluding moisture content. Controlled via stock flow adjustments from the machine chest. Combined with moisture targets, it determines final sheet basis weight.",lbs/MSF
Rush Drag Current | HBVOITH1:RDCR,MM018,,,Wet End,,,,Quality,,,-37.30,-3.80,"A key parameter affecting fiber orientation in the sheet. ‘Rushing’ increases cross-direction strength (RCT), while ‘dragging’ enhances machine direction strength (Concora). Managed through headbox jet-to-wire speed adjustments.",FPM
Wet Suction Box No.1 Sep Outlet Pressure Control Valve | PIC-2166-204B,MM019,,,Wet End,,,,Quality,,,0.20,7.20,"Regulates vacuum pressure in the first Fourdrinier suction box, crucial for sheet formation. Excessive vacuum can lead to sheet sealing, reducing drainage efficiency. Proper control ensures smooth dewatering and optimal sheet strength.",psi
QCS | CONCORA | Avg,MM020,,,,,,Others,Quality,,,39.20,50.20,"A measure of paper strength tested by compressing fluted strips. Influenced by headbox operations, dragging ratio, and refining intensity. Higher Concora values improve box performance under load.",lbs
Headbox Stilling Chamber Pressure Indication | PI-2362-430,MM021,,,Wet End,,,,Quality,,,12.40,15.60,Measures the pressure in the headbox after high and low consistency stocks are mixed. Proper pressure ensures smooth stock flow and consistent sheet quality. Variations can indicate stock instability or headbox issues.,psi
Average Headbox Differential Pressure Indication | PDI-2362-440 (psi ),MM022,,,Wet End,,,Others,Quality,,,18.70,25.30,Monitors the difference between low consistency header pressure and stilling chamber pressure. Proper differential pressure prevents backflow and ensures uniform stock distribution. High differential can reduce Concora values.,psi
PM Dilution Screen Accepts Pressure Indication | PI-2123-102,MM023,,,Wet End,,,,Quality,,,44.20,51.80,"Indicates pressure at the low consistency dilution header, crucial for stock dilution and sheet consistency. Lower pressure optimizes Concora performance. Controlled via pressure transmitters and screen differential adjustments.",psi
Suction Pick Up Roll-Holding Zones Pres Ctrl | PIC-2365-490,MM024,,,,Press,,,Quality,,,-23.00,-15.00,"Monitors vacuum levels at the pick-up roll, affecting refining intensity and sheet consolidation. Higher vacuum can lead to over-refining and increased drying costs. Balanced control ensures optimal dewatering.",psi
Second Press Draw (fpm),MM025,,,,Press,,,Quality,,,28.40,36.50,"Measures the speed differential between the first and second press sections, affecting sheet stretchability and strength. Excessive draw can weaken the sheet and cause breaks. Optimal draw prevents wrinkles while preserving strength.",FPM
Rejects Collection  Tank Level  Control  | LIC-2017-507,MM026,Stock Preparation,,,,,Others,,Cost,,66.30,141.50,"Maintains the level of the rejects collection tank to prevent overflows and process contamination. Collects rejects from multiple sources, ensuring effective water recovery while minimizing re-entry of contaminants.",%
Mill Basin Level Indication | LI-2005-501 (%),MM027,,,,,,Others,,Cost,,69.10,108.90,"Indicates water levels in the mill basin, which collects process overflows. Proper control ensures efficient water reuse and prevents excess discharge to external treatment facilities. Rising levels may indicate process inefficiencies.",%
Average Clear Water Storage Tank Overflow Flow  Control | FIC-2035-702,MM028,,,,,,Others,,Cost,,4.00,46.00,"Manages excess clean water in the storage tank, diverting it to external treatment only when necessary. Minimizes biological oxygen demand by prioritizing clean water discharge over cloudy water.",GPM
Effluent Clarifier Inlet  Flow Control | FIC-2005-504,MM029,,,,,,Others,,Cost,,196.00,"1,811.00",Regulates the flow of effluent water into the clarifier for sludge removal and water recovery. Ensures minimal water discharge and efficient separation of suspended solids.,GPM
MSD Effluent Discharge East | FI-3072 (gpm),MM030,,,,,,Others,,Cost,Production,101.00,"1,923.30","Measures water discharged to external treatment facilities, tracked in gallons per minute. Controlled to minimize environmental impact while optimizing mill water reuse.",GPM
Headbox Static Head Control | PIC-2362-407,MM031,,,Wet End,,,,Quality,,,249.00,314.00,"Maintains headbox pressure through fan pump speed adjustments. Proper pressure ensures consistent stock flow and optimal sheet formation. Calculated based on slice opening, wire speed, and jet-to-wire speed.",psi
Headbox Dilution Distribution Pipe Pressure Indication | PI-2362-431,MM032,,,Wet End,,,,Quality,,,33.30,40.70,Monitors low consistency header pressure for stock dilution. Must be maintained above high consistency pressure for effective dilution. Affects sheet quality and machine direction fiber orientation.,psi
Headbox Flow | HBVOITH1:QTOT,MM033,,,Wet End,,,,Quality,,Production,"14,966.00","16,735.00","Represents stock flow through the headbox nozzle, calculated using static head and slice opening. Ensures consistent stock delivery for optimal sheet formation.",GPM
Dilution Header Flow Ratio Control | FFIC-2362-406,MM034,,,Wet End,,,,Quality,,,"1,833.00","2,208.00","Controls dilution flow ratio relative to PM dilution screen accepts flow. Regulated via pump speed, typically between 11.5%-12.5%, ensuring consistent stock consistency.",%
Uhle box total flow,MM035,,,,Press,,,,,Production,50.30,461.10,"Measures total water removed by vacuum boxes on press felts. Ensures effective water removal, maintaining felt dryness for efficient sheet pressing. Regular felt maintenance is essential for optimal performance.",GPM
Pickup felt Uhle flow,MM036,,,,Press,,,,,Production,11.10,243.60,"Tracks water removal from the pickup felt, critical for initial sheet dewatering. Flow decreases as felt ages, necessitating regular maintenance. Proper flow ensures minimal water transfer to subsequent sections.",GPM
2nd Top Felt Uhle Box Flow | FI-2336-131,MM037,,,,Press,,,,,Production,7.80,79.10,"Monitors water removal from the second top press felt. Controlled by vacuum intensity, with flow decreasing as the felt wears. Optimal flow prevents sheet crushing and production slowdowns.",GPM
Uhle box Collection Tank Compartment #3 Level indication,MM038,,,,Press,,,,,Production,39.60,84.40,"Measures water removal from the second bottom press felt. Flow rates decrease with felt wear, shifting dewatering to the press nip. Proper control ensures efficient drying and reduced machine slowdowns.",%
2nd Press Nip Dewatering,MM039,,,,Press,,,,,Production,40.60,123.10,"Tracks water removed at the press nip through grooves in the Nipco P roll. Increases as felts age, complementing uhle box dewatering. Essential for maintaining solids consistency entering the dryer section.",GPM
QCS | TSI MD/CD AL | Avg,MM040,,,,,,Others,Quality,,,1.70,2.60,"Measures fiber alignment in the machine (MD) and cross (CD) directions. A higher MD/CD ratio indicates more machine direction fibers, improving Concora. Lower ratios enhance cross-direction strength (RCT).",Ratio
Step Foil Box No.3 Sep Outlet Press Control | PIC-2166-214B,MM041,,,Wet End,,,,Quality,,,5.30,20.10,"Controls vacuum pressure at the step foil box to balance sheet turbulence and drainage. Excessive pressure can seal the sheet, reducing drainage efficiency. Proper control ensures consistent sheet formation.",psi
First Press Draw % (%),MM042,,,,Press,,,Quality,,,0.00,0.40,Monitors speed differential between wire turning and pickup rolls. Ensures smooth sheet transfer while preventing weak points and sheet breaks. Typically maintained between 2-7 FPM.,%
After Dryer Draw % (%),MM043,,,,,Drying,,Quality,,,0.00,0.30,"Measures speed difference between the fourth dryer section and after-dryers. Ensures controlled sheet tension, preventing breaks. Proper draw management maintains fiber orientation and sheet elasticity.",%
QCS | SCT | Avg,MM044,,,,,,Others,Quality,,,7.40,13.00,"Short Span Compression Test (SCT) evaluates edgewise compressive strength, critical for box stacking performance. Controlled by moisture levels and fiber orientation. Optimal SCT improves box strength and durability.",lbs
steam per ton,MM045,,,,,Drying,,,,Production,"2,231.00","3,498.00","Measures steam usage per ton of paper produced, monitored to optimize drying efficiency and reduce costs. High steam consumption indicates process inefficiencies. Target is 2800-2980 lbs/ton.",lb/ton
Tertiary Fine Screen Dilution Flow Transmitter  | FIC-2017-543,MM046,Stock Preparation,,,,,,,Cost,,125.00,193.00,"Dilutes stock in the tertiary fine screen to separate contaminants like stickies and fines. Excessive dilution can pass unwanted material through, affecting drying and sheet quality. Managed using clear water dilution.",GPM
Dual Zone Wet Suction Box No.1 Separator Outlet Pressure Control MV | PIC-2032-612 MV (%),MM047,,,Wet End,,,,,Cost,,33.00,47.00,"Controls vacuum pressure in the dual-zone wet suction box for effective sheet drainage. Balanced vacuum prevents sheet sealing and fines accumulation, ensuring smooth water removal.",psi
Refiner No.1 Outlet Pressure Indication | PI-2018-202A (psi),MM048,,Refining,,,,,,Cost,,40.00,63.00,"Monitors pressure at Refiner #1's outlet to assess plate condition. Declining pressure indicates wear, reducing refining efficiency. Regular plate replacement ensures optimal fiber processing.",psi
First Press Draw (fpm),MM049,,,,Press,,,,Cost,,0.00,11.00,Measures speed differential at the first press to ensure smooth sheet transfer from wire to combi press. Proper draw prevents weak points and sheet breaks. Typically ranges from 2-8 FPM.,FPM
Heat Recovery P.V. Fan No.2 Steam Coils Inlet Temperature Control | TIC-8075-201,MM050,,,,,Drying,,,Cost,,178.00,217.00,"Regulates air temperature in the dryer hood to prevent condensation and improve drying efficiency. Hot air is circulated and reheated using steam coils, maintained at 190-195°F.",°F
Refiner No.1 Inlet Pressure Indication | PI-2123-228 (psi),MM051,,Refining,,,,,,Cost,,32.00,49.00,Ensures consistent pressure at Refiner #1's inlet for adequate fiber residence time. Proper pressure prevents uneven refining and maintains sheet quality. Typically maintained between 38-42 psi.,psi
Second Section Draw (fpm),MM052,,,,,Drying,,,Cost,,4.00,9.00,"Measures the speed differential between the first press drive, pickup roll drive, and Nipco P roll drive. Influences sheet tension and strength, typically maintained between 26-30 fpm to ensure smooth transfer and minimize breaks.",FPM
Quaternary Forward Cleaners Rejects Flow Indication | FI-2118-209 (gpm),MM053,,,Wet End,,,,,Cost,,82.00,332.00,"Tracks the reject flow from the quaternary forward cleaners, primarily removing sand and grit. Should be maintained between 120-140 GPM to ensure cleaner efficiency and minimize fiber loss.",GPM
Primary Reverse Flow Cleaners Flow Indication | FI-2022-111 (gpm),MM054,Stock Preparation,,,,,,,Cost,,"12,435.00","14,625.00","Monitors stock flow into the disk thickener, affecting production rates and stock storage levels. Consistency must be below 1% for optimal removal of stickies and wax, with a typical flow of ~13,300 GPM.",GPM
PM Excess WW Chest Level Indication | LI-2118-201 (%),MM055,Stock Preparation,,,,,,,Cost,,17.10,46.90,"Indicates the level of excess white water collected from various sources. Levels above 40% result in overflow to the buffer tank, requiring careful management to prevent rising mill basin levels.",%
Spill Containment Tank Level Control | LIC-2021-207,MM056,Stock Preparation,,,,,,,Cost,,0.00,29.20,"Regulates overflow from the pulper island, recycling water back to the pulper or mill basin. The level is controlled to stay below 20% to prevent overflows.",%
Vacuum Sump Pit Level Control   | LIC-2336-103,MM057,,,Wet End,,,,,Cost,,-6.80,-0.40,"Monitors water levels in the vacuum seal pit, which collects water from various process points. Proper level control ensures vacuum efficiency and prevents excessive water discharge.",%
Canal Water Collection Tank Temperature Indiction | TI-2035-606 (deg F),MM058,,,,,,Others,,Cost,,49.20,105.80,"Tracks the temperature of water exiting the vacuum seal pit heat exchanger. Helps regulate cooling tower operation, ensuring vacuum pumps function efficiently.",°F
Atlas Copco Air Compressor Inlet Flow Transmitter | FI-8033-112 (gpm),MM059,,,,,,Others,,Cost,,35.60,94.30,"Measures cooling water flow for the Atlas Copco air compressor, requiring 50-75 GPM. If flow drops below 20 GPM, the system switches to city water to prevent overheating.",GPM
Cooling Filtrate Water Pressure Control | PIC-6928-101,MM060,,,,,,Others,,Cost,,54.60,61.00,Ensures stable filtrate water pressure for cooling applications. Proper control prevents heat exchange inefficiencies and potential system overheating.,psi
Deculator Pressure Indication | PI-2118-206 (inHg),MM061,,,Wet End,,,,,Cost,,11.20,28.80,"Monitors pressure in the Deculator, which removes air from stock before entering the headbox. Proper pressure control improves Concora performance by reducing air entrapment.",inHg
IR Compressor Cooling Water Flow Indication | FI-8033-107 (gpm),MM062,,,,,,Others,,Cost,,35.70,123.10,"Tracks cooling water flow for the Ingersoll Rand compressor, which requires 50-75 GPM. Flow dropping below 20 GPM triggers a switch to city water.",GPM
Tertiary Fine Screen Rejects Flow Control  | FFIC-2017-403A (gpm),MM063,Stock Preparation,,,,,,,Cost,,61.70,281.80,"Regulates rejects from the tertiary fine screen, ensuring effective removal of contaminants like stickies and Styrofoam while minimizing fiber loss.",GPM
Refiner Outlet Freeness | AIC-2123-230 (CSF),MM064,,Refining,,,,,,,Production,233.40,644.60,Measures water retention capacity in refined stock using the Canadian Standard Freeness (CSF) scale. Higher values improve drainage but must be balanced for fiber bonding and sheet strength.,CSF
Concora Predicted-Raw,MM065,,,,,,Others,Quality,,,36.90,53.50,"Estimates Concora test values based on refining, fiber orientation, and draw settings. Used for quality control to ensure product meets strength standards.",lbs
RCT Predicted,MM066,,,,,,Others,Quality,,,22.80,34.60,Predicts Ring Crush Test (RCT) values to optimize fiber alignment and refining intensity. Helps maintain required cross-directional strength for corrugated board applications.,lbs
